Emp ID,First Name,Last Name,DOB,SSN,State
214,Sarah,Simpson,12/04/1985,xxx-xx-8166,FL
15,Samantha,Lara,09/08/1993,xxx-xx-7526,CO
411,Stacy,Charles,12/20/1957,xxx-xx-8526,PA
166,Michelle,Roy,07/29/1978,xxx-xx-3944,MI
39,Joseph,Rogers,03/28/1985,xxx-xx-3515,MN
423,Erica,Hines,10/13/1975,xxx-xx-6153,NY
192,Zoe,Patel,12/20/1967,xxx-xx-0817,WI
162,Matthew,Harvey,01/20/1990,xxx-xx-0346,TN
131,Shawn,Davis,07/21/1961,xxx-xx-1581,WV
20,April,Baldwin,08/07/1961,xxx-xx-2014,MO
246,Vincent,Daniels,01/06/1972,xxx-xx-2754,MT
525,Ann,Fields,08/22/1960,xxx-xx-7911,IA
392,Jeffrey,Pearson,05/05/1979,xxx-xx-2578,IL
474,Heather,Johnson,09/23/1989,xxx-xx-0904,GA
478,Melissa,Fletcher,03/14/1979,xxx-xx-6881,RI
101,Kimberly,Alvarez,09/04/1984,xxx-xx-8680,LA
52,Monica,Jimenez,04/08/1988,xxx-xx-1668,ND
182,Steven,Johnson,05/28/1962,xxx-xx-7070,NE
637,Sarah,Wood,06/15/1972,xxx-xx-6715,FL
510,Jesus,Petersen,03/28/1958,xxx-xx-0770,OK
122,Rhonda,Rosales,04/10/1963,xxx-xx-0286,AL
294,Nicole,Richardson,09/09/1981,xxx-xx-5228,LA
327,Jennifer,Mendez,07/20/1977,xxx-xx-1994,OR
145,Sandra,Petty,01/30/1981,xxx-xx-7629,NC
565,Michael,Hester,04/13/1987,xxx-xx-6836,SD
590,Joseph,Brown,08/28/1982,xxx-xx-4744,NH
340,Michelle,Cooper,08/23/1993,xxx-xx-2306,WA
176,Barbara,Wise,12/15/1991,xxx-xx-7662,IN
63,Carol,Rosales,07/20/1984,xxx-xx-4907,NJ
121,Mark,Villa,02/24/1969,xxx-xx-2207,MS
70,Russell,Orozco,09/16/1973,xxx-xx-5514,MS
446,Michelle,Sanchez,08/21/1994,xxx-xx-5222,OK
156,Briana,Ayala,10/31/1965,xxx-xx-4542,CT
343,Shane,Roberts,12/14/1958,xxx-xx-6030,HI
599,Cassandra,Morris,01/24/1973,xxx-xx-3831,MT
102,Krista,Thompson,07/25/1984,xxx-xx-7445,KY
377,Jon,Bennett,09/13/1957,xxx-xx-1689,NM
240,April,Thomas,12/03/1993,xxx-xx-3580,CO
455,Haley,Martinez,01/15/1968,xxx-xx-3736,ID
503,Isaac,Stafford,11/25/1989,xxx-xx-5036,SD
269,John,Martinez,01/06/1987,xxx-xx-3936,NH
219,John,Phillips,12/08/1982,xxx-xx-4070,WV
301,Gary,Shelton,09/11/1978,xxx-xx-9672,SD
84,Amanda,Gordon,10/12/1969,xxx-xx-2966,ME
588,Jessica,Holt,09/12/1963,xxx-xx-6084,NE
540,Stephanie,Estes,07/15/1966,xxx-xx-9779,SD
329,Jessica,Brown,02/01/1992,xxx-xx-7328,MS
74,Donna,Manning,05/19/1973,xxx-xx-7781,NM
29,Nicholas,Owens,08/20/1991,xxx-xx-7882,VA
92,Wendy,Ryan,05/13/1960,xxx-xx-0741,AZ
489,Kimberly,Hooper,09/08/1971,xxx-xx-3136,GA
561,Deborah,Gonzalez,05/28/1975,xxx-xx-0643,MT
44,Laura,Yoder,04/18/1987,xxx-xx-3016,IN
138,Kimberly,Velez,03/07/1958,xxx-xx-0707,AZ
623,Kevin,Garcia,05/15/1973,xxx-xx-4337,OK
173,Marcia,Jones,11/20/1972,xxx-xx-0963,ND
148,Nicole,Baldwin,08/11/1978,xxx-xx-5508,NV
184,Katherine,Juarez,02/13/1986,xxx-xx-8687,CA
228,Paula,Thompson,09/22/1985,xxx-xx-7734,NC
117,Joan,Hoover,02/27/1973,xxx-xx-5429,NM
544,Stephen,Simon,11/28/1962,xxx-xx-1621,NV
116,Rebecca,Taylor,09/30/1962,xxx-xx-9126,MN
622,Lindsay,Owens,04/28/1973,xxx-xx-6742,DE
376,Justin,Payne,07/03/1983,xxx-xx-7892,AK
100,Michelle,Thornton,01/25/1961,xxx-xx-4112,GA
222,Timothy,Hill,08/11/1985,xxx-xx-4460,SC
506,Karen,Johnson,01/05/1976,xxx-xx-5174,OH
59,Alexis,Mcintosh,03/01/1962,xxx-xx-9185,KY
456,Susan,Fitzgerald,09/18/1961,xxx-xx-3222,AL
389,Amber,Stewart,08/26/1958,xxx-xx-3120,OH
236,Taylor,Evans,07/17/1983,xxx-xx-2641,NJ
78,Tracy,Knight,09/27/1993,xxx-xx-8339,ID
253,Jason,Parks,02/27/1981,xxx-xx-2601,AZ
